,HaulLat,HaulLong,Year,Distance,BottomDepth,Plastic_Weight
369,54.6717,14.6163,2014,2740,48,0.006
370,54.6722,13.7802,2016,2785,32,0
371,54.6726,15.1216,2017,2822,60,3.304
372,54.674,13.781,2013,2774,31,0
373,54.6743,14.5108,2017,2748,38,0.218
374,54.6745,14.6183,2015,2842,50,0
375,54.6766,14.6107,2017,2844,48,0.124
376,54.6767,15.6217,2015,2690,65,0.0067
377,54.678,14.6023,2013,2825,46,0
378,54.6787,14.8397,2016,3004,53,0
379,54.6789,10.5057,2013,2331,24,0
380,54.6795,13.7868,2012,2778,31,0
381,54.68,16.595,2016,2637,28,0
382,54.6805,10.5298,2012,2530,24,0
383,54.6816,12.3032,2017,2786,19,0.003
384,54.6818,14.845,2014,2744,51,0
385,54.6819,14.61,2016,2961,48,0
386,54.6822,12.3018,2014,2785,19,0
387,54.6822,13.0248,2017,3256,19,0
388,54.6828,12.304,2013,2684,19,0
389,54.683,13.7863,2017,3041,35,0
390,54.6832,14.4427,2014,2700,29,0
391,54.6833,14.82,2017,2747,53,0.1634
392,54.6833,16.61,2015,2885,27,0.8882
393,54.6835,13.0097,2012,2796,19,0.19
394,54.6839,10.4997,2016,2775,29,0
395,54.684,10.4935,2017,2899,31,0
396,54.684,12.3047,2014,2757,19,0.798
397,54.6841,13.0132,2016,2768,19,0
398,54.6842,13.0085,2014,2713,19,0
399,54.6847,14.4487,2014,2658,31,0
400,54.6848,13.0052,2015,2855,20,0
401,54.6852,14.8523,2015,3096,53,0
402,54.6854,15.6777,2013,2752,66,0
403,54.6855,13.0017,2013,2826,19,0
404,54.6855,13.0033,2016,2928,19,0
405,54.6855,14.1048,2015,2979,26,0
406,54.6867,14.8182,2016,NA,54,0.074
407,54.6867,16.6283,2016,2744,27,1.2
408,54.6872,12.197,2013,2784,21,0
409,54.6874,10.736,2014,NA,21,0
410,54.6877,14.1075,2012,2873,26,0
411,54.6882,12.2013,2016,3113,20,0.144
412,54.6883,16.6283,2017,2710,28,0
413,54.689,12.9837,2013,2882,19,0
414,54.6896,12.2158,2017,2750,20,0
415,54.6899,12.9808,2017,2812,19,0.146
416,54.69,16.64,2017,2273,28,0.0378
417,54.6902,13.7878,2015,2970,37,0
418,54.6904,10.3537,2016,2894,24,0.19
419,54.6907,12.9788,2014,2762,14,0
420,54.6908,10.7395,2013,2420,21,0
421,54.6908,12.2098,2016,2684,20,0
422,54.6917,19.0983,2016,2682,93,0
423,54.693,14.4713,2013,2866,31,0.004
424,54.6931,14.6513,2017,2781,19,0.053
425,54.6945,14.4745,2016,2245,30,5
426,54.6962,14.1192,2016,2842,27,0.098
427,54.6973,14.4845,2015,2988,33,0
428,54.6982,12.2407,2012,2752,19,0.262
429,54.699,14.1262,2014,2813,26,0
430,54.6997,14.1275,2016,2760,26,0
431,54.7013,14.1287,2013,2760,26,0
432,54.7017,14.1303,2014,2754,26,1.26
433,54.7024,10.7412,2014,2068,20,0
434,54.7042,14.125,2013,2924,27,0
435,54.7043,10.7418,2015,2379,21,0
436,54.7055,10.7465,2015,NA,22,0
437,54.7067,18.7717,2015,2427,57,0
438,54.7091,13.114,2017,2784,23,0.104
439,54.7099,13.199,2016,2913,26,0
440,54.7108,13.2015,2014,2752,24,0
441,54.7117,18.7717,2016,2894,54,0.034
442,54.72,15.775,2017,2040,63,0.036
443,54.7255,14.697,2012,2882,52,0
444,54.7257,13.7235,2015,2869,41,0
445,54.7281,12.2895,2016,3186,21,0.844
446,54.7292,12.2903,2015,2963,22,0.79
447,54.7297,13.7263,2014,2793,40,0
448,54.73,12.2925,2013,2751,21,0
449,54.7305,15.0477,2014,2711,61,0.0115
450,54.7314,14.7187,2016,2860,50,0.008
451,54.7317,12.2943,2013,2811,22,0
452,54.7322,13.551,2016,2893,39,0
