,HaulLat,HaulLong,Year,Distance,Plastic_Weight
288,54.5895,12.4515,2015,2808,0
289,54.5943,11.2357,2012,2557,0
290,54.5986,11.2197,2017,2844,0
291,54.5993,10.6502,2017,2774,0
292,54.6,10.6642,2013,2632,0
293,54.6005,14.614,2013,2762,0.152
294,54.6016,10.6563,2013,2198,0
295,54.6017,19.2067,2017,2830,0.0108
296,54.6033,19.2117,2017,2752,0.0254
297,54.6038,12.6005,2012,2783,0
298,54.604,10.6498,2016,2815,0
299,54.6095,11.2289,2014,2102,0
300,54.61,15.515,2015,2501,0
301,54.6105,11.1243,2016,3126,0.002
302,54.6106,11.1765,2016,2782,0
303,54.6113,14.4085,2014,2754,0
304,54.6158,10.665,2015,NA,0
305,54.62,15.9183,2017,2732,0.1012
306,54.6206,10.649,2017,2917,0
307,54.6233,16.0533,2015,2469,0.0244
308,54.6233,16.055,2016,2688,0.029
309,54.6242,10.6473,2014,2424,0
310,54.6252,12.9297,2016,2673,0
311,54.6252,14.9794,2016,NA,0.034
312,54.6253,12.9327,2013,2816,0
313,54.6267,14.76,2017,2720,0.1104
314,54.6267,16.0617,2017,2574,0.05
315,54.6272,12.6435,2013,2720,0
316,54.6273,14.7705,2015,2761,0
317,54.6282,10.6555,2012,2459,0
318,54.6287,12.9618,2014,2697,0
319,54.6292,12.9677,2015,2813,0
320,54.6298,10.337,2015,2824,0
321,54.631,14.1973,2015,3035,0
322,54.6317,14.1957,2016,2820,0
323,54.6337,14.7677,2014,2826,0
324,54.6338,14.7677,2012,2960,0
325,54.6344,14.766,2016,2946,0
326,54.635,15.9083,2016,2648,0.189
327,54.6358,14.1878,2012,2871,0.214
328,54.6358,14.766,2015,2820,0
329,54.6367,14.7663,2014,2826,0
330,54.6373,12.2093,2015,2771,0
331,54.638,12.21,2014,2757,1.094
332,54.6382,12.6802,2012,2834,0
333,54.6396,10.3554,2013,2220,0
334,54.6398,13.8247,2017,2818,0.048
335,54.6417,16.3717,2016,2882,0.55
336,54.645,16.3767,2016,2698,0
337,54.6452,12.1662,2012,2771,0.052
338,54.6465,14.1637,2014,2812,0
339,54.6467,16.3783,2015,2950,0
340,54.6483,14.1595,2013,2840,0
341,54.6483,19.0233,2015,2785,0
342,54.6488,14.1645,2016,3012,0.022
343,54.6492,14.158,2014,2805,0.242
344,54.6492,14.1588,2017,3175,0
345,54.65,14.1563,2013,2986,0
346,54.6533,16.41,2017,2789,0
347,54.6536,15.0976,2015,2782,0
348,54.6537,15.1294,2013,2774,0
349,54.654,15.1195,2015,NA,0.1
350,54.6542,12.7185,2017,2743,0.034
351,54.6542,15.1044,2016,NA,0.158
352,54.6557,10.3659,2014,NA,0
353,54.6563,14.6762,2014,2784,0
354,54.6567,16.4133,2017,2698,0.0012
355,54.6642,14.6087,2015,2820,0.1
356,54.665,14.8127,2012,2918,0
357,54.6657,12.2202,2013,2690,0.014
358,54.666,12.2227,2015,2986,0
359,54.6663,12.2247,2014,2714,0.002
360,54.6667,15.605,2016,2686,0.001
361,54.6672,12.7417,2014,2741,0
362,54.6683,15.92,2016,2834,0.05
363,54.6683,18.825,2016,2428,0.025
364,54.6687,14.6135,2016,2803,0.006
365,54.6688,14.634,2012,2743,0.004
366,54.6688,15.5882,2016,NA,0.006
367,54.6692,14.6138,2014,2741,0.004
368,54.6708,15.5951,2017,NA,0
369,54.6717,14.6163,2014,2740,0.006
370,54.6722,13.7802,2016,2785,0
371,54.6726,15.1216,2017,2822,3.304
372,54.674,13.781,2013,2774,0
373,54.6743,14.5108,2017,2748,0.218
374,54.6745,14.6183,2015,2842,0
375,54.6766,14.6107,2017,2844,0.124
376,54.6767,15.6217,2015,2690,0.0067
377,54.678,14.6023,2013,2825,0
378,54.6787,14.8397,2016,3004,0
379,54.6789,10.5057,2013,2331,0
380,54.6795,13.7868,2012,2778,0
381,54.68,16.595,2016,2637,0
382,54.6805,10.5298,2012,2530,0
383,54.6816,12.3032,2017,2786,0.003
384,54.6818,14.845,2014,2744,0
385,54.6819,14.61,2016,2961,0
386,54.6822,12.3018,2014,2785,0
387,54.6822,13.0248,2017,3256,0
388,54.6828,12.304,2013,2684,0
389,54.683,13.7863,2017,3041,0
390,54.6832,14.4427,2014,2700,0
391,54.6833,14.82,2017,2747,0.1634
392,54.6833,16.61,2015,2885,0.8882
393,54.6835,13.0097,2012,2796,0.19
394,54.6839,10.4997,2016,2775,0
395,54.684,10.4935,2017,2899,0
396,54.684,12.3047,2014,2757,0.798
397,54.6841,13.0132,2016,2768,0
398,54.6842,13.0085,2014,2713,0
399,54.6847,14.4487,2014,2658,0
400,54.6848,13.0052,2015,2855,0
401,54.6852,14.8523,2015,3096,0
402,54.6854,15.6777,2013,2752,0
403,54.6855,13.0017,2013,2826,0
404,54.6855,13.0033,2016,2928,0
405,54.6855,14.1048,2015,2979,0
406,54.6867,14.8182,2016,NA,0.074
407,54.6867,16.6283,2016,2744,1.2
408,54.6872,12.197,2013,2784,0
409,54.6874,10.736,2014,NA,0
410,54.6877,14.1075,2012,2873,0
411,54.6882,12.2013,2016,3113,0.144
412,54.6883,16.6283,2017,2710,0
413,54.689,12.9837,2013,2882,0
414,54.6896,12.2158,2017,2750,0
415,54.6899,12.9808,2017,2812,0.146
416,54.69,16.64,2017,2273,0.0378
417,54.6902,13.7878,2015,2970,0
418,54.6904,10.3537,2016,2894,0.19
419,54.6907,12.9788,2014,2762,0
420,54.6908,10.7395,2013,2420,0
421,54.6908,12.2098,2016,2684,0
422,54.6917,19.0983,2016,2682,0
423,54.693,14.4713,2013,2866,0.004
424,54.6931,14.6513,2017,2781,0.053
425,54.6945,14.4745,2016,2245,5
426,54.6962,14.1192,2016,2842,0.098
427,54.6973,14.4845,2015,2988,0
428,54.6982,12.2407,2012,2752,0.262
429,54.699,14.1262,2014,2813,0
430,54.6997,14.1275,2016,2760,0
431,54.7013,14.1287,2013,2760,0
432,54.7017,14.1303,2014,2754,1.26
433,54.7024,10.7412,2014,2068,0
434,54.7042,14.125,2013,2924,0
435,54.7043,10.7418,2015,2379,0
436,54.7055,10.7465,2015,NA,0
437,54.7067,18.7717,2015,2427,0
438,54.7091,13.114,2017,2784,0.104
439,54.7099,13.199,2016,2913,0
440,54.7108,13.2015,2014,2752,0
441,54.7117,18.7717,2016,2894,0.034
442,54.72,15.775,2017,2040,0.036
443,54.7255,14.697,2012,2882,0
444,54.7257,13.7235,2015,2869,0
445,54.7281,12.2895,2016,3186,0.844
446,54.7292,12.2903,2015,2963,0.79
447,54.7297,13.7263,2014,2793,0
448,54.73,12.2925,2013,2751,0
449,54.7305,15.0477,2014,2711,0.0115
450,54.7314,14.7187,2016,2860,0.008
451,54.7317,12.2943,2013,2811,0
452,54.7322,13.551,2016,2893,0
453,54.7328,13.726,2016,2641,0
454,54.733,12.296,2014,2748,0.37
455,54.7332,12.297,2015,2787,0
456,54.7332,13.5483,2015,2844,0.009
457,54.7333,18.97,2017,2719,0.0164
458,54.7338,12.302,2017,2903,0
459,54.7343,13.4018,2013,2798,0
460,54.7344,12.299,2016,2728,0
461,54.7349,13.5512,2016,2849,0
462,54.7362,13.5442,2014,2710,0
463,54.7362,13.728,2016,2783,0
464,54.7376,14.744,2017,2817,0
465,54.7377,13.3657,2013,2858,0
466,54.7387,12.3068,2012,2935,0.012
467,54.7455,13.5248,2015,2975,0
468,54.7469,10.1702,2016,2862,0
469,54.7478,13.3092,2013,2626,0
470,54.748,13.8967,2017,2697,0.01
471,54.7498,13.5165,2014,2786,0
472,54.75,16.915,2017,2048,0.0106
473,54.7505,14.9845,2016,NA,0.144
474,54.751,13.733,2015,2846,0.064
475,54.7517,16.9033,2015,2036,0
476,54.7525,13.945,2013,2987,0.003
